Scenario,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Programs
34,0.102601163644578,0.259334306902326,0.326083897220327,0.3714966813801487,0.3957950541907332,0.40370661183899276,0.4065299244515276,0.4081105941634437,0.41228191027038574,0.41482727255447444,0.4158476093707007,0.4159415239971485,0.4162316278752969,0.4166444737035221,0.41708069158653055,A
35,0.187645241972013,0.362045460746962,0.42135259998304,0.4364826638668414,0.4451620823605347,0.45037351711186474,0.45166541883047595,0.4551682340717888,0.4598986455832024,0.4601999391460914,0.4627969446880525,0.46410242822614467,0.4642683811485779,0.46518022255670427,0.4662452795617393,A
36,0.142241542412705,0.30169244536223805,0.3859439834823378,0.40998373481564343,0.4167309946114514,0.4226201349258078,0.4260319343143777,0.43015924735209865,0.4310709883568182,0.433018518523555,0.4344921953378146,0.4355042641042445,0.43619446072109674,0.43638263985024234,0.43682656149428656,A
37,0.194874385314953,0.397963478920523,0.430384520892715,0.44890750463711643,0.46492351381467634,0.4735208158177347,0.4823920206378299,0.48813643771737253,0.4894493137495352,0.4912601921363968,0.49398231050501196,0.49422852064893763,0.495,0.495,0.495,A
38,0.223829182907756,0.41075475376582155,0.4408286726328505,0.47843713768769597,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,A
39,0.177958960880806,0.393114524979357,0.4297139717200486,0.44881109864668134,0.4610922894466369,0.47196796938158087,0.47687036838300323,0.48093976267516414,0.49088974945806285,0.4927873014041817,0.49452743128219223,0.495,0.495,0.495,0.495,A
40,0.155812910680628,0.333585341203953,0.40541504064271394,0.42067718104780016,0.42945987909721883,0.4324729838807533,0.43669827563346575,0.43870074655133967,0.4391598470926952,0.44284683628228133,0.4437174819411162,0.4440004887397013,0.44461940337274225,0.4448245931606442,0.4451673578364917,A
41,0.228739007864739,0.4202678762215108,0.4537606861532075,0.4851982239162132,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,A
42,0.155846303653325,0.347495757871912,0.4121580720902202,0.4321181486589089,0.44277383469303566,0.44606012152934477,0.4563638213665518,0.4627910658656275,0.4646863011346106,0.4667728184512167,0.46790706585311076,0.47014463904322323,0.4719728683904058,0.4723171918107714,0.4727649049542853,A
43,0.157510124495038,0.36590011194277705,0.41782839304595115,0.4354159989934505,0.4457184951194105,0.44683829494407334,0.4474493274034839,0.45457764827797315,0.4561712409467661,0.4602944420948649,0.4614156590035326,0.4618887900446558,0.46361859363411617,0.4641686338362828,0.46465507855746857,A
44,0.193227216506164,0.380325309499223,0.4228093266317998,0.44135547064662184,0.4655262925510892,0.46816519382078997,0.47475948103527976,0.47990084740538314,0.48332529354749837,0.48590597835649013,0.4886710958029969,0.4897602261682109,0.4913841679401927,0.4917241140846512,0.4923537749664115,A
45,0.197364563982602,0.41096649109561034,0.45088679494469847,0.48974242918668903,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,A
46,0.147515625320532,0.338243288293288,0.4115772759344563,0.4325895061535984,0.44228038156326616,0.44936773886414016,0.45856084110764245,0.4606825283669624,0.46389674291210764,0.46676437914162067,0.46850101790911364,0.469599938770768,0.4716499663021514,0.4725851189580308,0.4731067194285454,A
47,0.144263969393389,0.305074889272325,0.3782256070907537,0.4079981613107895,0.41912295549591805,0.4232417664849606,0.4299076555865434,0.43331861427703344,0.43575820493449363,0.4375681096325628,0.4375767542639063,0.4380709093847559,0.43867371081105017,0.4389933391532225,0.4395611548604995,A
48,0.118091049122017,0.253685945496592,0.3268259936486161,0.3768315396417513,0.4043538629383251,0.40994572683509917,0.41201930092909655,0.4135858385262757,0.4164322783731586,0.4177062903466089,0.4189556704417704,0.4192245602478747,0.4197260830344179,0.4200294463153595,0.4206268839553268,A
49,0.150507892752898,0.369090860980794,0.42306223065498433,0.441416348400929,0.4566599904395471,0.46076360056929483,0.46316132522574266,0.4640431954706505,0.4680860300904035,0.47445862428884866,0.4764747541921917,0.4776344115120643,0.4785778945554623,0.47963318915259284,0.48088956144853223,A
50,0.142863739459173,0.31898646673421,0.4074633853334713,0.4237920477310191,0.4338384547678796,0.4405750245390211,0.44264464469891496,0.44403106292910843,0.44423470189188813,0.44635785054929233,0.44752229772666857,0.4484501165093692,0.4492533427265168,0.44988834182166326,0.450362905159843,A
51,0.118882147068962,0.25371867182889996,0.32907522499326997,0.3719333987326623,0.40000774020249813,0.4052808482692743,0.4065827864704355,0.40979793556876953,0.41168258288650605,0.4117577629639988,0.41240219505591835,0.41325341423583845,0.4134722882948106,0.41401479919169837,0.4144145518882352,A
52,0.156976874802352,0.359552389829543,0.4150900834056786,0.4334588281848559,0.4462029407586555,0.44989684723848494,0.45452155213264417,0.45501890844999526,0.46021629991724844,0.4638156498584129,0.465891243787878,0.46739089958977337,0.46824165041015836,0.4688355387589315,0.46955521464231686,A
53,0.202706209599725,0.4081294372155607,0.4387766065101118,0.4645487375750358,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,A
54,0.160936969344482,0.344257112118464,0.41290127202820215,0.43110316672611093,0.44089504638669585,0.45781544457625406,0.4715443167592202,0.4745339599162556,0.4828596163651811,0.4866245254636366,0.4897734440573551,0.4912272253831418,0.49289490566550775,0.4933502850952873,0.4937370315990997,A
55,0.155636223819744,0.320065137551289,0.40598542475558236,0.42367447906175265,0.4302585729597107,0.4339449417406572,0.43786034772253113,0.44322069666927677,0.4495717619536247,0.4513623216300467,0.4533216837938266,0.4534991829324739,0.4551436862766384,0.4552226844847827,0.45581490413760345,A
