Scenario,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
52,0.1411615131124290000,0.1657865228588590000,0.0715625128222154000,0.0486873248544797000,0.0363122570955633000,0.0083053718164711800,0.0053621473504060200,0.0080694097642414300,0.0105379655995934000,0.0031602197353325000,0.0047993744428822000,0.0023030982889937600,0.0024904513900338400,0.0012699203378092500,0.0010815381246706500
53,0.1657440999077210000,0.1776901178811860000,0.0798523673323933000,0.0497628746817459000,0.0218540151606393000,0.0277456120707286000,0.0078567508208487900,0.0131389631688904000,0.0043885429102557500,0.0078344058442752900,0.0048162554130576600,0.0011330932053997800,0.0024689857402110500,0.0014820154805934600,0.0016658489736257100
54,0.1745863821553560000,0.1811968467016890000,0.0829456080032277000,0.0647959780959309000,0.0408104757036044000,0.0173057103675414000,0.0106128399338748000,0.0121525174417256000,0.0090293191711963900,0.0161908062791480000,0.0017119333699967500,0.0012836785905573100,0.0023455578816131900,0.0002706612386883100,0.0010979443260384800
55,0.1357408082680380000,0.1449788809637460000,0.0667355083985489000,0.0425620633133284000,0.0274809550485473000,0.0139935776294769000,0.0013224452950019800,0.0108220473384712000,0.0045121957781878800,0.0102545813394559000,0.0041471894016599800,0.0026414745817718200,0.0017718902718316300,0.0011862528026145700,0.0008806833135970520
56,0.1653899780041410000,0.2026989298384670000,0.0792876284865144000,0.0610394568044424000,0.0523217559266741000,0.0008969771631583720,0.0328279266451504000,0.0089856173700802600,0.0116992949549124000,0.0095302267089757000,0.0049661443990508400,0.0000997687524970193,0.0016232515541024200,0.0016505665760635700,0.0022997108779439900
57,0.1639437448253030000,0.2142724083380720000,0.1126408939905160000,0.0617079275793160000,0.0183761374105787000,0.0222734379075883000,0.0155881804536148000,0.0065494350040184900,0.0109733781342344000,0.0128811870089152000,0.0054186411624838000,0.0022382403571160300,0.0016165880726237700,0.0012869344842151000,0.0006151347806969780
58,0.2333805679163660000,0.2825776823029930000,0.1293298031085760000,0.0745797235024588000,0.0360763353986019000,0.0482731238689270000,0.0141164536669581000,0.0117640398218066000,0.0045770028765359000,0.0015246244396904500,0.0027338108961695400,0.0028664893123566300,0.0021410592523096700,0.0022275365548684900,0.0041937509719326900
59,0.1630785054363980000,0.1764215183663890000,0.0796923106003293000,0.0570736944415033000,0.0646661198681571000,0.0365909497506007000,0.0000709953529698219,0.0120358455608916000,0.0148328608442470000,0.0033336669587138800,0.0049163751831664500,0.0041425612971144000,0.0018728381841970100,0.0013033125533874900,0.0011173238674190400
60,0.1483433548314410000,0.1632701278807910000,0.0921334622747875000,0.0468833222228153000,0.0538728202252228000,0.0259902300099855000,0.0242198515668872000,0.0135247686864003000,0.0075784395615028600,0.0091365278230252300,0.0039368732573526700,0.0064063686824071200,0.0025677471277023300,0.0003365299909117130,0.0027251194352800000
61,0.1742817949915670000,0.2489382067033410000,0.1249401577806550000,0.0801941126268529000,0.0661596068305806000,0.0339011117761127000,0.0166323503367815000,0.0172700392705166000,0.0083086067313779600,0.0031047946744284500,0.0070930376122897700,0.0030619522261231000,0.0044194061919367900,0.0023612321352056300,0.0018831484824070200
62,0.1872592080981400000,0.2557912739739990000,0.0980669257221658000,0.0807425700818012000,0.0741128699655534000,0.0005959132007639590,0.0265756020307308000,0.0050151138089058400,0.0078297827687120900,0.0033513759961806900,0.0004641814249038790,0.0031900350312042800,0.0028612525900670500,0.0015437256441109300,0.0021884644501369300
63,0.1450830767540180000,0.1463933810245290000,0.0869176074219458000,0.0506321549763155000,0.0453879591383274000,0.0061171429880798900,0.0097311676842094400,0.0117108991652669000,0.0023237348911360100,0.0101824510021456000,0.0031990279865266800,0.0023392686995776900,0.0027312698807065900,0.0005729442681816860,0.0006257194883431500
64,0.1727188047405060000,0.2103892106761680000,0.1021041583586790000,0.0630088934319441000,0.0550156173557628000,0.0223739276784988000,0.0162874040424774000,0.0017402355422242700,0.0124793311005251000,0.0069082360276083300,0.0055159085537982800,0.0021865891526457600,0.0022525575034089400,0.0003631915810281720,0.0017928553455559100
65,0.1667109499287170000,0.2038799604022540000,0.1074908242101190000,0.0470602163248691000,0.0465607568715862000,0.0189766685562122000,0.0156624684691578000,0.0139175811835788000,0.0022083730166450200,0.0082244370942090200,0.0065337152982127900,0.0013768584643776400,0.0002354469728622870,0.0017271682937029800,0.0017116076032374800
66,0.1408730505609030000,0.1567886460950480000,0.0832511588258611000,0.0552293511803862000,0.0413919016455439000,0.0151366486013684000,0.0097445221091186200,0.0043642123432644100,0.0124782400463577000,0.0033095951604970100,0.0035758376763311300,0.0022522300920113200,0.0020132368387319300,0.0007745563196061560,0.0012826514545694900
